date,store_id,product_id,quantity_sold,price,is_promo
2024-01-01,S1,P1,41,64,1
2024-01-02,S1,P1,24,64,0
2024-01-03,S1,P1,29,51,1
2024-01-04,S1,P1,44,40,1
2024-01-05,S1,P1,29,40,0
2024-01-06,S1,P1,18,40,0
2024-01-07,S1,P1,18,40,0
2024-01-08,S1,P1,22,40,0
2024-01-09,S1,P1,23,40,0
2024-01-10,S1,P1,42,32,1
2024-01-11,S1,P1,22,32,0
2024-01-12,S1,P1,20,32,0
2024-01-13,S1,P1,27,32,0
2024-01-14,S1,P1,31,32,0
2024-01-15,S1,P1,30,25,1
2024-01-16,S1,P1,25,25,0
2024-01-17,S1,P1,21,25,0
2024-01-18,S1,P1,28,25,0
2024-01-19,S1,P1,27,25,0
2024-01-20,S1,P1,18,25,0
2024-01-21,S1,P1,31,25,0
2024-01-22,S1,P1,31,20,1
2024-01-23,S1,P1,30,16,1
2024-01-24,S1,P1,36,12,1
2024-01-25,S1,P1,24,12,0
2024-01-26,S1,P1,40,9,1
2024-01-27,S1,P1,27,7,1
2024-01-28,S1,P1,27,7,0
2024-01-29,S1,P1,45,5,1
2024-01-30,S1,P1,26,5,0
2024-01-01,S1,P2,11,32,1
2024-01-02,S1,P2,8,25,1
2024-01-03,S1,P2,8,25,0
2024-01-04,S1,P2,17,25,0
2024-01-05,S1,P2,4,25,0
2024-01-06,S1,P2,16,25,0
2024-01-07,S1,P2,15,20,1
2024-01-08,S1,P2,9,20,0
2024-01-09,S1,P2,15,20,0
2024-01-10,S1,P2,14,20,0
2024-01-11,S1,P2,5,20,0
2024-01-12,S1,P2,7,20,0
2024-01-13,S1,P2,10,20,0
2024-01-14,S1,P2,12,20,0
2024-01-15,S1,P2,22,16,1
2024-01-16,S1,P2,11,16,0
2024-01-17,S1,P2,9,16,0
2024-01-18,S1,P2,10,12,1
2024-01-19,S1,P2,5,12,0
2024-01-20,S1,P2,17,9,1
2024-01-21,S1,P2,10,9,0
2024-01-22,S1,P2,16,9,0
2024-01-23,S1,P2,4,9,0
2024-01-24,S1,P2,7,7,1
2024-01-25,S1,P2,11,7,0
2024-01-26,S1,P2,12,7,0
2024-01-27,S1,P2,4,7,0
2024-01-28,S1,P2,6,7,0
2024-01-29,S1,P2,17,7,0
2024-01-30,S1,P2,16,7,0
2024-01-01,S1,P3,14,109,1
2024-01-02,S1,P3,17,109,0
2024-01-03,S1,P3,13,109,0
2024-01-04,S1,P3,17,109,0
2024-01-05,S1,P3,16,109,0
2024-01-06,S1,P3,5,109,0
2024-01-07,S1,P3,29,87,1
2024-01-08,S1,P3,24,69,1
2024-01-09,S1,P3,5,69,0
2024-01-10,S1,P3,6,55,1
2024-01-11,S1,P3,15,44,1
2024-01-12,S1,P3,7,44,0
2024-01-13,S1,P3,13,44,0
2024-01-14,S1,P3,7,44,0
2024-01-15,S1,P3,17,44,0
2024-01-16,S1,P3,16,35,1
2024-01-17,S1,P3,5,35,0
2024-01-18,S1,P3,8,28,1
2024-01-19,S1,P3,15,28,0
2024-01-20,S1,P3,5,28,0
2024-01-21,S1,P3,17,28,0
2024-01-22,S1,P3,12,28,0
2024-01-23,S1,P3,14,28,0
2024-01-24,S1,P3,10,28,0
2024-01-25,S1,P3,13,22,1
2024-01-26,S1,P3,12,17,1
2024-01-27,S1,P3,4,17,0
2024-01-28,S1,P3,12,17,0
2024-01-29,S1,P3,11,17,0
2024-01-30,S1,P3,24,13,1
2024-01-01,S1,P4,26,72,0
2024-01-02,S1,P4,26,72,0
2024-01-03,S1,P4,34,72,0
2024-01-04,S1,P4,31,72,0
2024-01-05,S1,P4,38,72,0
2024-01-06,S1,P4,39,72,0
2024-01-07,S1,P4,29,72,0
2024-01-08,S1,P4,32,72,0
2024-01-09,S1,P4,29,72,0
2024-01-10,S1,P4,64,57,1
2024-01-11,S1,P4,38,57,0
2024-01-12,S1,P4,51,45,1
2024-01-13,S1,P4,39,45,0
2024-01-14,S1,P4,31,45,0
2024-01-15,S1,P4,39,45,0
2024-01-16,S1,P4,43,36,1
2024-01-17,S1,P4,32,36,0
2024-01-18,S1,P4,35,36,0
2024-01-19,S1,P4,49,28,1
2024-01-20,S1,P4,26,28,0
2024-01-21,S1,P4,51,22,1
2024-01-22,S1,P4,36,22,0
2024-01-23,S1,P4,32,22,0
2024-01-24,S1,P4,33,22,0
2024-01-25,S1,P4,32,22,0
2024-01-26,S1,P4,30,22,0
2024-01-27,S1,P4,45,17,1
2024-01-28,S1,P4,30,17,0
2024-01-29,S1,P4,39,17,0
2024-01-30,S1,P4,30,17,0
2024-01-01,S1,P5,5,143,0
2024-01-02,S1,P5,13,143,0
2024-01-03,S1,P5,9,143,0
2024-01-04,S1,P5,13,143,0
2024-01-05,S1,P5,19,114,1
2024-01-06,S1,P5,29,91,1
2024-01-07,S1,P5,10,72,1
2024-01-08,S1,P5,14,72,0
2024-01-09,S1,P5,12,72,0
2024-01-10,S1,P5,7,72,0
2024-01-11,S1,P5,5,72,0
2024-01-12,S1,P5,8,72,0
2024-01-13,S1,P5,9,72,0
2024-01-14,S1,P5,16,72,0
2024-01-15,S1,P5,15,57,1
2024-01-16,S1,P5,17,57,0
2024-01-17,S1,P5,9,57,0
2024-01-18,S1,P5,9,57,0
2024-01-19,S1,P5,10,57,0
2024-01-20,S1,P5,13,57,0
2024-01-21,S1,P5,11,57,0
2024-01-22,S1,P5,8,57,0
2024-01-23,S1,P5,10,57,0
2024-01-24,S1,P5,9,57,0
2024-01-25,S1,P5,18,57,0
2024-01-26,S1,P5,11,57,0
2024-01-27,S1,P5,7,45,1
2024-01-28,S1,P5,11,45,0
2024-01-29,S1,P5,14,45,0
2024-01-30,S1,P5,16,45,0
2024-01-01,S1,P6,34,121,0
2024-01-02,S1,P6,39,96,1
2024-01-03,S1,P6,43,76,1
2024-01-04,S1,P6,28,76,0
2024-01-05,S1,P6,37,60,1
2024-01-06,S1,P6,40,48,1
2024-01-07,S1,P6,23,48,0
2024-01-08,S1,P6,42,38,1
2024-01-09,S1,P6,36,38,0
2024-01-10,S1,P6,45,30,1
2024-01-11,S1,P6,33,30,0
2024-01-12,S1,P6,34,30,0
2024-01-13,S1,P6,28,30,0
2024-01-14,S1,P6,30,30,0
2024-01-15,S1,P6,35,30,0
2024-01-16,S1,P6,25,30,0
2024-01-17,S1,P6,34,30,0
2024-01-18,S1,P6,37,24,1
2024-01-19,S1,P6,46,19,1
2024-01-20,S1,P6,25,19,0
2024-01-21,S1,P6,23,19,0
2024-01-22,S1,P6,34,19,0
2024-01-23,S1,P6,35,19,0
2024-01-24,S1,P6,34,19,0
2024-01-25,S1,P6,53,15,1
2024-01-26,S1,P6,41,12,1
2024-01-27,S1,P6,48,9,1
2024-01-28,S1,P6,32,9,0
2024-01-29,S1,P6,23,9,0
2024-01-30,S1,P6,23,9,0
2024-01-01,S1,P7,5,84,0
2024-01-02,S1,P7,8,84,0
2024-01-03,S1,P7,8,84,0
2024-01-04,S1,P7,14,84,0
2024-01-05,S1,P7,9,84,0
2024-01-06,S1,P7,16,84,0
2024-01-07,S1,P7,9,67,1
2024-01-08,S1,P7,13,67,0
2024-01-09,S1,P7,17,67,0
2024-01-10,S1,P7,7,67,0
2024-01-11,S1,P7,9,67,0
2024-01-12,S1,P7,17,67,0
2024-01-13,S1,P7,17,67,0
2024-01-14,S1,P7,15,67,0
2024-01-15,S1,P7,8,67,0
2024-01-16,S1,P7,23,53,1
2024-01-17,S1,P7,6,53,0
2024-01-18,S1,P7,9,42,1
2024-01-19,S1,P7,17,42,0
2024-01-20,S1,P7,9,42,0
2024-01-21,S1,P7,12,42,0
2024-01-22,S1,P7,8,42,0
2024-01-23,S1,P7,16,42,0
2024-01-24,S1,P7,13,42,0
2024-01-25,S1,P7,7,42,0
2024-01-26,S1,P7,11,42,0
2024-01-27,S1,P7,9,42,0
2024-01-28,S1,P7,10,33,1
2024-01-29,S1,P7,11,33,0
2024-01-30,S1,P7,8,33,0
2024-01-01,S1,P8,41,35,1
2024-01-02,S1,P8,24,35,0
2024-01-03,S1,P8,25,35,0
2024-01-04,S1,P8,25,35,0
2024-01-05,S1,P8,28,35,0
2024-01-06,S1,P8,25,35,0
2024-01-07,S1,P8,26,35,0
2024-01-08,S1,P8,24,35,0
2024-01-09,S1,P8,33,28,1
2024-01-10,S1,P8,23,28,0
2024-01-11,S1,P8,40,22,1
2024-01-12,S1,P8,17,22,0
2024-01-13,S1,P8,23,22,0
2024-01-14,S1,P8,25,22,0
2024-01-15,S1,P8,44,17,1
2024-01-16,S1,P8,19,17,0
2024-01-17,S1,P8,24,17,0
2024-01-18,S1,P8,23,13,1
2024-01-19,S1,P8,19,13,0
2024-01-20,S1,P8,30,10,1
2024-01-21,S1,P8,28,10,0
2024-01-22,S1,P8,24,10,0
2024-01-23,S1,P8,28,10,0
2024-01-24,S1,P8,17,10,0
2024-01-25,S1,P8,21,10,0
2024-01-26,S1,P8,26,10,0
2024-01-27,S1,P8,44,8,1
2024-01-28,S1,P8,23,8,0
2024-01-29,S1,P8,30,6,1
2024-01-30,S1,P8,17,6,0
2024-01-01,S1,P9,14,74,0
2024-01-02,S1,P9,11,74,0
2024-01-03,S1,P9,25,59,1
2024-01-04,S1,P9,8,47,1
2024-01-05,S1,P9,8,37,1
2024-01-06,S1,P9,16,37,0
2024-01-07,S1,P9,20,29,1
2024-01-08,S1,P9,16,23,1
2024-01-09,S1,P9,7,23,0
2024-01-10,S1,P9,5,23,0
2024-01-11,S1,P9,14,23,0
2024-01-12,S1,P9,15,23,0
2024-01-13,S1,P9,16,23,0
2024-01-14,S1,P9,8,18,1
2024-01-15,S1,P9,11,14,1
2024-01-16,S1,P9,13,14,0
2024-01-17,S1,P9,6,14,0
2024-01-18,S1,P9,8,14,0
2024-01-19,S1,P9,27,11,1
2024-01-20,S1,P9,13,11,0
2024-01-21,S1,P9,20,8,1
